PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
CwBJO,r1bqk2r/1p3pbp/p1p2np1/4p3/2P1P3/3BBN2/PP3PPP/R2QK2R w KQkq - 0 11,f3e5 d8a5 d1d2 a5e5,1757,76,95,7755,advantage fork opening short,https://lichess.org/Ds2sGkfY#21,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
CyRAh,r2qk2r/pp2bppp/2n1bn2/2p5/4PP1N/8/PPPN2BP/R1BQ1RK1 b kq - 0 11,f6e4 d2e4 d8d1 f1d1,1495,75,98,685,advantage hangingPiece opening short,https://lichess.org/e4bjfQ8B/black#22,Kings_Indian_Attack Kings_Indian_Attack_French_Variation
CzZvK,r1bqnrk1/p1p1npbp/1p4p1/2pPp3/P3P3/1QN5/1P1NBPPP/R1B2RK1 b - - 3 12,f7f5 d5d6 g8h8 d6e7,963,87,92,267,advancedPawn advantage discoveredAttack kingsideAttack opening short,https://lichess.org/blg1NXg0/black#24,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
D1eNf,r1bq1rk1/1ppn2bp/3p4/p1nPppN1/2P5/2N1B2P/PPB2PP1/R2Q1RK1 b - - 1 13,f5f4 c2h7 g8h8 d1h5 d8g5 h5g5,1987,75,92,1504,crushing kingsideAttack long opening quietMove,https://lichess.org/43vFuyeA/black#26,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
D73r3,r2q1rBk/pb1n1pp1/1ppbp2p/6N1/2PP4/6P1/PPQ2P1P/R1B2RK1 b - - 3 14,g7g6 g5f7 f8f7 g8f7,1116,79,88,406,crushing fork master opening short,https://lichess.org/xaWQnoti/black#28,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
D8nIU,rnb1k2r/p1p2ppp/1p2pn2/8/3qP3/6P1/PPPN2BP/R1BQ1KNR w kq - 0 9,g1f3 c8a6 d1e2 a6e2,1623,77,96,17248,crushing opening short,https://lichess.org/fDy0yhiD#17,French_Defense French_Defense_Kings_Indian_Attack
DG6lk,rnq2rk1/ppp1ppbp/3p1npB/8/2PP4/4QNPb/PP2PPBP/RN3RK1 b - - 13 11,f6g4 g2h3 g4e3 h3c8 g7h6 c8b7,1960,74,93,6371,advantage hangingPiece long master opening,https://lichess.org/2q8m9o9m/black#22,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
DIQQu,rnbqr1k1/1p3pb1/p2p2pB/2pP4/4n3/2N2P2/PP1QN1PP/R3KB1R w KQ - 0 13,f3e4 d8h4 g2g3 h4h6 d2h6 g7h6,1249,76,64,262,advantage long opening,https://lichess.org/gvZ8qHnO#25,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
DIURx,r1bq1rkb/ppp4p/3p2p1/3Pp2n/2Pn4/2N2NPP/PP1B1P2/R2QKB1R w KQ - 2 14,f3d4 e5d4,967,85,91,135,advantage oneMove opening,https://lichess.org/bQD0dMzs#27,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
DPijF,r1bq2k1/ppp1nrbp/6p1/2pN4/8/6P1/PP2PPBP/R1BQ1RK1 b - - 0 12,c7c6 d5f6 g7f6 d1d8,1341,74,95,4805,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/SDvFJlFz/black#24,Kings_Indian_Defense Kings_Indian_Defense_Fianchetto_Variation
DQ3Ah,rn1q1rk1/pp1b1pbp/3p2pB/3pp3/2P1P3/2N2P2/PP1Q2PP/R3K1NR w KQ - 0 12,c4d5 d8h4 g2g3 h4h6 d2h6 g7h6,1250,75,96,2910,crushing long opening,https://lichess.org/FbY5nl6v#23,Kings_Indian_Defense Kings_Indian_Defense_Semi-Averbakh_System
DWxb3,r1bq1rk1/pppnppb1/3p3p/6pn/2PP4/2N1PNB1/PP3PPP/R2QKB1R w KQ - 2 10,f3g5 h5g3 h2g3 h6g5,1175,76,92,906,advantage intermezzo opening short,https://lichess.org/sR359Lbx#19,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
DeR8O,r2q1rk1/ppp2pbp/3p2p1/2nNnb2/2P5/1P2PN2/PB2BPPP/1R1Q1RK1 w - - 5 13,b1c1 e5f3 e2f3 g7b2,1434,83,84,105,advantage discoveredAttack opening short,https://lichess.org/i1JW5GSL#25,Kings_Indian_Defense Kings_Indian_Defense_Semi-Classical_Variation
DeW0T,rn1q1rk1/ppp1bpp1/4pn1p/5b2/4P3/5NP1/PPPN1PBP/R1BQR1K1 b - - 0 9,f5e4 d2e4 f6e4 d1d8 f8d8 e1e4,1352,74,92,2362,advantage discoveredAttack long master opening,https://lichess.org/u7b62EJG/black#18,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
Dh54H,rn3rk1/pp3pbp/q1bNp1p1/8/8/1P4P1/P2BPPBP/2RQ1RK1 w - - 10 18,a2a4 c6g2 g1g2 a6d6,986,83,88,654,advantage discoveredAttack opening short,https://lichess.org/gsTcl3ih#35,Kings_Indian_Defense Kings_Indian_Defense_Fianchetto_Variation
Dip22,r3kb1r/pp3ppp/nq2pnb1/1N1p4/Q7/3P2P1/PP2PPBP/RNB1K2R b KQkq - 3 10,a6c5 b5c7 e8d8 c7a8 c5a4 a8b6,1599,75,75,195,advantage doubleCheck long opening,https://lichess.org/PwaTZCPy/black#20,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
DjCu8,r2q1rk1/pp1n1ppp/2p2n2/2b1p3/2N1P1b1/P4NP1/1PP2PBP/R1BQR1K1 w - - 3 12,c4e5 d7e5 d1d8 e5f3,1663,74,92,1111,crushing kingsideAttack opening sacrifice short,https://lichess.org/P2pWWZOj#23,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
DjeKa,r1bq1rk1/p3bppp/2Q1pn2/2p5/2pP4/6P1/PP2PPBP/RNB2RK1 b - - 0 10,c8d7 c6a8 d8a8 g2a8,944,77,95,1269,advantage opening short,https://lichess.org/yClIyBwV/black#20,Kings_Indian_Attack Kings_Indian_Attack_Sicilian_Variation
DkG1s,1rbq1rk1/1p3Nbp/pn4p1/2pB4/2P5/4P3/PP3PPP/R1BQ1RK1 b - - 0 14,f8f7 d5f7 g8f7 d1d8,621,93,89,1334,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/EHmE6MFP/black#28,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
DlZHF,r1bqr1k1/p4pbp/2pp2p1/8/1PP1n3/P1N5/1B2BPPP/R2Q1RK1 w - - 2 14,c3a4 g7b2 a4b2 e4c3 d1d2 c3e2,1283,75,89,1368,crushing long opening,https://lichess.org/lExt1H7y#27,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
Dm6qY,rnbqr1k1/p3ppbp/3p1Bp1/2p5/2PP4/2NBPN2/P4PPP/R2QK2R b KQ - 0 10,g7f6 d3e4 b8d7 e4a8,1949,75,91,360,crushing opening short trappedPiece,https://lichess.org/FcObXErl/black#20,Kings_Indian_Defense Kings_Indian_Defense_Smyslov_Variation
DnOgj,rnbq1rk1/ppp2pbp/3p1np1/3P2B1/2P1p3/2N2N2/PP1QPPPP/R3KB1R w KQ - 0 8,c3e4 f6e4 g5d8 e4d2,963,91,88,489,advantage hangingPiece opening short,https://lichess.org/dXOkkhSr#15,Kings_Indian_Defense Kings_Indian_Defense_Smyslov_Variation
